Benchmark,Algorithm,Best_Cost,Mean_Cost,Std_Cost,Mean_HPWL,Mean_Avg_Cong,Mean_Max_Cong,Mean_Overflow,Avg_Time
adaptec1.inf,SA,0.4268268220467603,0.426880409045487,3.803168898461063e-05,2097803531.5079014,0.6407313754000185,13.330846522460048,0.046549479166666664,2085.1368668874106
adaptec1.inf,SHO,0.00019628489805584496,0.0023955413020441004,0.0020449544035548435,11772280.778373169,475472158.037529,486883489830.4297,0.0009765625,5760.744560400645
adaptec1.inf,WOA,7.757762577934195e-06,0.0027811845016953523,0.001984493030302428,13667434.299614372,306961753.31025726,314074821242.9413,0.0009765625,6118.4003890355425
adaptec1.inf,GA,0.424906923585679,0.4252251618185965,0.0003133177080745446,2089668842.264801,0.6997680015215023,15.623171446868133,0.07161458333333333,20194.68563755353
adaptec1.inf,ACO,0.4244566302777606,0.4254235731467076,0.0007166954637206975,2090644505.7165964,0.8013933611979741,35.96957562705347,0.047526041666666664,4586.8001301288605
bigblue1.inf,SA,0.41551718571776475,0.4157157491949682,0.00020128779378100582,2628051850.0624657,1.0196069283603226,18.0100531512312,0.06575520833333333,2655.917714357376
bigblue1.inf,SHO,9.34078595034744e-06,0.0009252229674368203,0.0006499820897704668,5848971.69862722,253684749.65418705,259773183645.88754,0.0009765625,8210.431838591894
bigblue1.inf,WOA,0.00017071944981854694,0.0008729155313019862,0.0005530201742455499,5518296.873644963,198007262.6919799,202759436996.5874,0.0009765625,8075.37105123202
bigblue1.inf,GA,0.41444322851215254,0.4146116577414172,0.00011948953152031674,2621072973.1470723,2.6422123115987985,295.5157056007538,0.0400390625,25707.996771415073
bigblue1.inf,ACO,0.4148033409772073,0.41554670764321444,0.0005380371378627374,2626984457.3146462,1.1018709597606722,172.92348360136768,0.0458984375,5912.261551777522
